|400100|10|001|00|MFTU2243238|2100|12|
|400100|10|012|00|CHSU8088859|3660|1104|
|400100|10|023|00|MFTU9115917|3810|178|
|400100|10|049|00|MFTU9220229|3700|1104|
|400100|10|053|00|GESU6791074|3850|24|
|400100|10|054|00|LYGU4075778|3700|30|
|400100|10|054|00|TCLU7858279|3890|30|
|400100|10|062|00|TRLU9712451|2230|20|
|400100|10|075|00|SEGU7903790|4400|41|
|400100|10|086|00|SGRU2003350|2220|18|
|400100|10|086|00|SGRU2119612|2180|18|
|400100|10|089|00|GESU1362755|2180|14|
|400100|10|092|00|MFTU2134833|2130|18|
|400100|10|093|00|MFTU7220955|4150|48|
|400100|10|094|00|MFTU4112073|3610|25|
|400100|10|094|00|MFTU4112432|3610|25|
|400100|10|099|00|MFTU2138886|2130|17|
|400100|10|099|00|MFTU7152090|4150|31|
|400100|10|099|00|MFTU7227820|4150|33|
|400100|10|099|00|MFTU7228508|4150|34|
|400100|10|099|00|SEGU4599853|4150|26|
|400100|10|099|00|SEGU4601863|4150|49|
|400100|10|111|00|MFTU9115012|3810|7090|
|400100|10|111|00|TCLU6650167|3840|7351|
|400100|10|114|00|MFTU2132743|2130|367|
|400100|10|115|00|SEGU7936541|4180|40|
|400100|10|116|00|MFTU7180955|4150|45|
|400100|10|128|00|SEGU4273471|3830|31|
|400100|10|131|00|MFTU4116417|3610|32|
|400100|10|150|00|MFTU2225229|2100|10|
|400100|10|150|00|MFTU4116171|3610|23|
|400100|10|151|00|MFTU2243198|2100|7|
|400100|10|151|00|MFTU4114498|3610|19|
|400100|10|152|00|MFTU4111539|3610|15|
|400100|10|153|00|MFTU7221268|4150|32|
|400100|10|153|00|SEGU4604076|4150|82|
|400100|10|155|00|MFTU4110255|3610|10|
|400100|10|155|00|TCLU3817517|2250|23|
|400100|10|159|00|MFTU2226375|2100|200|
