|2901062|10|107|00|MSDU503863/1|4400|30|
|2901062|10|107|00|MSDU519036/7|4400|30|
|2901062|10|107|00|MSMU781528/0|4400|30|
|2901062|10|107|00|MSMU778140/5|4400|30|
|2901062|10|118|00|CAIU256137/9|2200|200|
|2901062|10|021|00|MSBU315364/4|2200|80|
|2901062|10|021|00|MSNU280681/8|2200|80|
|2901062|10|021|00|MSMU232964/5|2200|80|
|2901062|10|021|00|FCIU603523/6|2200|80|
|2901062|10|021|00|MSNU193730/4|2200|80|
|2901062|10|021|00|MSNU295050/6|2200|80|
|2901062|10|095|00|FSCU759424/3|2200|80|
|2901062|10|095|00|MSDU701326/8|4400|160|
|2901062|10|095|00|TRHU821315/1|4400|160|
